Tag,Count,Percentage,TotalChars,AvgCharPerSeg
FARM_OP,25957,22.57%,212043,8.17
CROP,22963,19.97%,129397,5.64
CROP_PART,10742,9.34%,57567,5.36
FERT,7746,6.74%,61547,7.95
PERIOD,4553,3.96%,22745,5.00
PEST,3963,3.45%,38452,9.70
DIS,3701,3.22%,52825,14.27
PESTI,3612,3.14%,42126,11.66
FUNG,3592,3.12%,41225,11.48
SYM,3310,2.88%,24428,7.38
QTY,2954,2.57%,21240,7.19
COUNT,2872,2.50%,18450,6.42
NUT,2445,2.13%,25304,10.35
DIST,2199,1.91%,10529,4.79
WEATHER,2068,1.80%,18855,9.12
TIME,1931,1.68%,14290,7.40
LOC,1526,1.33%,14685,9.62
SEASON,1358,1.18%,9974,7.34
VAR,1288,1.12%,11399,8.85
SOIL_TYPE,837,0.73%,6748,8.06
EQUIP,825,0.72%,8433,10.22
HERB,795,0.69%,9936,12.50
WEED,709,0.62%,7103,10.02
ABIOD,614,0.53%,5172,8.42
PATH,526,0.46%,3992,7.59
METHOD,493,0.43%,7132,14.47
ORG,386,0.34%,5971,15.47
FOOD,289,0.25%,2431,8.41
PRICE,235,0.20%,2188,9.31
TEMP,169,0.15%,2918,17.27
BIOD,155,0.13%,2423,15.63
PER,78,0.07%,896,11.49
YIELD,65,0.06%,838,12.89
HUM,42,0.04%,400,9.52
